metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1770787244,1.000000,,,1419,false,::setup,POST,https://qonaah.luqni.my.id/login,HTTP/2.0,,,419,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_duration,1770787244,138.183800,,,1419,false,::setup,POST,https://qonaah.luqni.my.id/login,HTTP/2.0,,,419,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_blocked,1770787244,130.340400,,,1419,false,::setup,POST,https://qonaah.luqni.my.id/login,HTTP/2.0,,,419,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_connecting,1770787244,22.471900,,,1419,false,::setup,POST,https://qonaah.luqni.my.id/login,HTTP/2.0,,,419,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_tls_handshaking,1770787244,91.413700,,,1419,false,::setup,POST,https://qonaah.luqni.my.id/login,HTTP/2.0,,,419,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_sending,1770787244,3.705000,,,1419,false,::setup,POST,https://qonaah.luqni.my.id/login,HTTP/2.0,,,419,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_waiting,1770787244,132.196900,,,1419,false,::setup,POST,https://qonaah.luqni.my.id/login,HTTP/2.0,,,419,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_receiving,1770787244,2.281900,,,1419,false,::setup,POST,https://qonaah.luqni.my.id/login,HTTP/2.0,,,419,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_failed,1770787244,1.000000,,,1419,false,::setup,POST,https://qonaah.luqni.my.id/login,HTTP/2.0,,,419,,tls1.3,https://qonaah.luqni.my.id/login,,
checks,1770787244,0.000000,Login Berhasil,,,,::setup,,,,,,,,,,,
data_sent,1770787244,701.000000,,,,,::setup,,,,,,,,,,,
data_received,1770787244,11404.000000,,,,,::setup,,,,,,,,,,,
iteration_duration,1770787244,272.166600,,,,,::setup,,,,,,,,,,,
http_reqs,1770787244,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_duration,1770787244,75.773800,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_blocked,1770787244,59.290600,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_connecting,1770787244,21.730500,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_tls_handshaking,1770787244,36.970300,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_sending,1770787244,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_waiting,1770787244,73.919000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_receiving,1770787244,1.854800,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_failed,1770787244,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_reqs,1770787245,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_duration,1770787245,74.376400,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_blocked,1770787245,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_connecting,1770787245,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_tls_handshaking,1770787245,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_sending,1770787245,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_waiting,1770787245,70.031700,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_receiving,1770787245,4.344700,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_failed,1770787245,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
checks,1770787245,1.000000,status is 200,,,,,,,,default,,,,,,,
vus,1770787245,1.000000,,,,,,,,,,,,,,,,
vus_max,1770787245,1.000000,,,,,,,,,,,,,,,,
data_sent,1770787246,1304.000000,,,,,,,,,default,,,,,,,
data_received,1770787246,15514.000000,,,,,,,,,default,,,,,,,
iteration_duration,1770787246,1226.695400,,,,,,,,,default,,,,,,,
iterations,1770787246,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1770787246,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_duration,1770787246,48.082500,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_blocked,1770787246,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_connecting,1770787246,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_tls_handshaking,1770787246,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_sending,1770787246,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_waiting,1770787246,46.416200,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_receiving,1770787246,1.666300,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_failed,1770787246,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_reqs,1770787246,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_duration,1770787246,61.139500,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_blocked,1770787246,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_connecting,1770787246,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_tls_handshaking,1770787246,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_sending,1770787246,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_waiting,1770787246,55.978400,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_receiving,1770787246,5.161100,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_failed,1770787246,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
checks,1770787246,1.000000,status is 200,,,,,,,,default,,,,,,,
vus,1770787246,1.000000,,,,,,,,,,,,,,,,
vus_max,1770787246,1.000000,,,,,,,,,,,,,,,,
data_sent,1770787247,754.000000,,,,,,,,,default,,,,,,,
data_received,1770787247,12249.000000,,,,,,,,,default,,,,,,,
iteration_duration,1770787247,1110.857800,,,,,,,,,default,,,,,,,
iterations,1770787247,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1770787247,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_duration,1770787247,48.669400,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_blocked,1770787247,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_connecting,1770787247,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_tls_handshaking,1770787247,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_sending,1770787247,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_waiting,1770787247,47.023300,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_receiving,1770787247,1.646100,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_failed,1770787247,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_reqs,1770787247,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_duration,1770787247,61.188200,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_blocked,1770787247,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_connecting,1770787247,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_tls_handshaking,1770787247,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_sending,1770787247,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_waiting,1770787247,56.030100,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_receiving,1770787247,5.158100,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_failed,1770787247,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
checks,1770787247,1.000000,status is 200,,,,,,,,default,,,,,,,
vus,1770787247,1.000000,,,,,,,,,,,,,,,,
vus_max,1770787247,1.000000,,,,,,,,,,,,,,,,
data_sent,1770787248,712.000000,,,,,,,,,default,,,,,,,
data_received,1770787248,12084.000000,,,,,,,,,default,,,,,,,
iteration_duration,1770787248,1124.173800,,,,,,,,,default,,,,,,,
iterations,1770787248,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1770787248,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_duration,1770787248,60.879400,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_blocked,1770787248,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_connecting,1770787248,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_tls_handshaking,1770787248,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_sending,1770787248,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_waiting,1770787248,59.933700,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_receiving,1770787248,0.945700,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_failed,1770787248,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_reqs,1770787248,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_duration,1770787248,52.687900,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_blocked,1770787248,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_connecting,1770787248,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_tls_handshaking,1770787248,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_sending,1770787248,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_waiting,1770787248,48.014000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_receiving,1770787248,4.673900,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_failed,1770787248,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
checks,1770787248,1.000000,status is 200,,,,,,,,default,,,,,,,
vus,1770787248,1.000000,,,,,,,,,,,,,,,,
vus_max,1770787248,1.000000,,,,,,,,,,,,,,,,
data_sent,1770787249,707.000000,,,,,,,,,default,,,,,,,
data_received,1770787249,12141.000000,,,,,,,,,default,,,,,,,
iteration_duration,1770787249,1126.066600,,,,,,,,,default,,,,,,,
iterations,1770787249,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1770787249,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_duration,1770787249,47.860200,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_blocked,1770787249,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_connecting,1770787249,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_tls_handshaking,1770787249,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_sending,1770787249,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_waiting,1770787249,46.969900,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_receiving,1770787249,0.890300,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_failed,1770787249,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_reqs,1770787249,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_duration,1770787249,51.187900,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_blocked,1770787249,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_connecting,1770787249,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_tls_handshaking,1770787249,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_sending,1770787249,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_waiting,1770787249,49.095500,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_receiving,1770787249,2.092400,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_failed,1770787249,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
checks,1770787249,1.000000,status is 200,,,,,,,,default,,,,,,,
vus,1770787249,1.000000,,,,,,,,,,,,,,,,
vus_max,1770787249,1.000000,,,,,,,,,,,,,,,,
data_sent,1770787250,708.000000,,,,,,,,,default,,,,,,,
data_received,1770787250,12210.000000,,,,,,,,,default,,,,,,,
iteration_duration,1770787250,1110.600000,,,,,,,,,default,,,,,,,
iterations,1770787250,1.000000,,,,,,,,,default,,,,,,,
vus,1770787250,1.000000,,,,,,,,,,,,,,,,
vus_max,1770787250,1.000000,,,,,,,,,,,,,,,,
http_reqs,1770787250,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_duration,1770787250,49.042500,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_blocked,1770787250,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_connecting,1770787250,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_tls_handshaking,1770787250,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_sending,1770787250,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_waiting,1770787250,49.042500,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_receiving,1770787250,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_failed,1770787250,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_reqs,1770787250,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_duration,1770787250,47.922700,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_blocked,1770787250,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_connecting,1770787250,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_tls_handshaking,1770787250,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_sending,1770787250,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_waiting,1770787250,45.332300,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_receiving,1770787250,2.590400,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
http_req_failed,1770787250,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/login,HTTP/2.0,default,,200,,tls1.3,https://qonaah.luqni.my.id/login,,
checks,1770787250,1.000000,status is 200,,,,,,,,default,,,,,,,
vus,1770787251,1.000000,,,,,,,,,,,,,,,,
vus_max,1770787251,1.000000,,,,,,,,,,,,,,,,
data_sent,1770787251,786.000000,,,,,,,,,default,,,,,,,
data_received,1770787251,11992.000000,,,,,,,,,default,,,,,,,
iteration_duration,1770787251,1109.148600,,,,,,,,,default,,,,,,,
iterations,1770787251,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1770787251,1.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_duration,1770787251,42.925300,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_blocked,1770787251,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_connecting,1770787251,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_tls_handshaking,1770787251,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
http_req_sending,1770787251,0.000000,,,,true,,GET,https://qonaah.luqni.my.id/dashboard,HTTP/2.0,default,,302,,tls1.3,https://qonaah.luqni.my.id/dashboard,,
